x,y,cell_id,population,infected_DM_0,infected_DM_1,infected_DM_2,infected_DM_3,u,var,sd,IoD,CoV
-2.2178967,53.5194231,2.26801E+18,72,3,1,0,1,1.25,1.583333333,1.258305739,1.266666667,1.006644591
-2.2179013,53.520322,3.82455E+18,69,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2179198,53.5239173,6.74533E+17,19,0,1,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2179614,53.5320067,3.86192E+17,65,1,1,2,1,1.25,0.25,0.5,0.2,0.4
-2.2180354,53.546388,-5.8295E+18,60,0,0,0,1,0.25,0.25,0.5,1,2
-2.2181048,53.5598704,-5.02109E+18,51,1,0,0,0,0.25,0.25,0.5,1,2
-2.2162694,53.4960562,7.57627E+18,25,1,0,0,1,0.5,0.333333333,0.577350269,0.666666667,1.154700538
-2.2163106,53.5041457,-5.12527E+18,52,1,1,1,0,0.75,0.25,0.5,0.333333333,0.666666667
-2.2163564,53.513134,-5.852E+18,92,1,0,1,1,0.75,0.25,0.5,0.333333333,0.666666667
-2.2164115,53.52392,-4.09959E+18,43,1,0,0,0,0.25,0.25,0.5,1,2
-2.2164573,53.5329083,-8.68816E+18,64,2,0,2,0,1,1.333333333,1.154700538,1.333333333,1.154700538
-2.2164619,53.5338071,-6.21576E+18,79,1,0,1,2,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2164665,53.534706,7.43889E+18,89,0,2,1,1,1,0.666666667,0.816496581,0.666666667,0.816496581
-2.2164757,53.5365036,-1.17256E+18,51,2,2,1,0,1.25,0.916666667,0.957427108,0.733333333,0.765941686
-2.2164849,53.5383013,9.16954E+18,27,0,0,1,0,0.25,0.25,0.5,1,2
